susceptible,exposed,infected,recovered
786,96,375,2743
766,91,360,2783
740,103,356,2801
723,104,330,2843
704,103,322,2871
687,99,309,2905
669,97,311,2923
642,98,309,2951
622,101,304,2973
609,95,297,2999
591,96,291,3022
568,101,283,3048
553,89,287,3071
533,89,283,3095
514,95,273,3118
500,91,266,3143
477,91,275,3157
461,92,274,3173
454,79,274,3193
436,78,272,3214
419,81,266,3234
407,70,263,3260
389,72,262,3277
372,82,250,3296
357,79,251,3313
343,76,250,3331
338,69,235,3358
329,60,233,3378
322,50,237,3391
311,46,234,3409
292,51,225,3432
279,59,215,3447
271,58,204,3467
261,61,192,3486
256,55,189,3500
245,47,185,3523
237,42,182,3539
226,45,183,3546
216,45,175,3564
208,48,163,3581
203,42,162,3593
201,36,152,3611
194,32,146,3628
184,32,141,3643
178,30,135,3657
174,29,135,3662
169,32,128,3671
168,26,128,3678
163,21,127,3689
156,22,114,3708
150,24,105,3721
148,21,102,3729
144,24,93,3739
139,24,93,3744
135,21,89,3755
131,19,87,3763
127,21,78,3774
122,22,72,3784
120,19,69,3792
117,18,68,3797
115,16,70,3799
114,13,67,3806
111,11,62,3816
111,9,58,3822
106,11,57,3826
104,11,54,3831
101,13,54,3832
100,11,52,3837
98,13,45,3844
97,9,44,3850
94,10,44,3852
91,10,43,3856
88,12,39,3861
87,11,37,3865
86,11,34,3869
86,8,33,3873
84,7,31,3878
84,4,32,3880
83,4,30,3883
80,6,29,3885
79,7,28,3886
77,7,27,3889
76,8,27,3889
74,9,23,3894
74,6,24,3896
74,5,22,3899
70,7,23,3900
69,7,22,3902
68,6,23,3903
67,7,20,3906
67,7,17,3909
67,3,18,3912
66,3,18,3913
63,5,18,3914
63,4,19,3914
61,6,17,3916
60,7,17,3916
60,6,17,3917
59,4,17,3920
67,6,16,3911
66,5,16,3913
66,4,16,3914
64,6,14,3916
62,7,15,3916
62,5,17,3916
72,4,14,3910
73,7,13,3907
76,5,14,3905
78,5,15,3902
77,8,15,3900
82,12,15,3891
83,11,17,3889
88,12,14,3886
95,12,16,3877
104,9,17,3870
105,7,20,3868
117,6,22,3855
123,6,22,3849
133,4,22,3841
142,6,21,3831
155,6,23,3816
164,8,22,3806
182,9,21,3788
187,10,21,3782
208,8,23,3761
221,6,22,3751
238,3,25,3734
256,1,25,3718
272,0,23,3705
290,0,19,3691
308,0,17,3675
324,1,16,3659
351,1,14,3634
370,2,14,3614
384,3,12,3601
403,3,11,3583
426,2,11,3561
446,2,11,3541
472,1,10,3517
493,2,9,3496
514,2,6,3478
548,2,4,3446
572,2,3,3423
607,2,3,3388
652,0,5,3343
681,0,5,3314
700,0,5,3295
725,0,5,3270
756,0,5,3239
790,1,5,3204
824,1,4,3171
864,1,4,3131
915,1,3,3081
942,1,2,3055
974,0,3,3023
1007,0,3,2990
1046,0,3,2951
1083,0,3,2914
1123,0,1,2876
1168,0,1,2831
1203,0,1,2796
1237,0,1,2762
1278,0,1,2721
1310,0,1,2689
1346,0,1,2653
1385,0,1,2614
1425,0,1,2574
1469,0,1,2530
1507,0,0,2493
1553,0,0,2447
1579,0,0,2421
1628,0,0,2372
1663,0,0,2337
1703,0,0,2297
1761,0,0,2239
1798,0,0,2202
1849,0,0,2151
1888,0,0,2112
1923,0,0,2077
1969,0,0,2031
2012,0,0,1988
2054,0,0,1946
2094,0,0,1906
2145,0,0,1855
2187,0,0,1813
2223,0,0,1777
2266,0,0,1734
2300,0,0,1700
2337,0,0,1663
2375,0,0,1625
2416,0,0,1584
2451,0,0,1549
2482,0,0,1518
2525,0,0,1475
2550,0,0,1450
2588,0,0,1412
2620,0,0,1380
2658,0,0,1342
2696,0,0,1304
2729,0,0,1271
2758,0,0,1242
2798,0,0,1202
2816,0,0,1184
2858,0,0,1142
2886,0,0,1114
2920,0,0,1080
2938,0,0,1062
2966,0,0,1034
2988,0,0,1012
3014,0,0,986
3037,0,0,963
3063,0,0,937
3086,0,0,914
3110,0,0,890
3133,0,0,867
3158,0,0,842
3172,0,0,828
3188,0,0,812
3208,0,0,792
3229,0,0,771
3249,0,0,751
3275,0,0,725
3292,0,0,708
3311,0,0,689
3328,0,0,672
3346,0,0,654
3373,0,0,627
3393,0,0,607
3406,0,0,594
3424,0,0,576
3447,0,0,553
3462,0,0,538
3482,0,0,518
3501,0,0,499
3515,0,0,485
3538,0,0,462
3554,0,0,446
3561,0,0,439
3579,0,0,421
3596,0,0,404
3608,0,0,392
3626,0,0,374
3643,0,0,357
3658,0,0,342
3672,0,0,328
3677,0,0,323
