susceptible,exposed,infected,recovered
3990,10,0,0
3990,10,0,0
3990,10,0,0
3990,10,0,0
3990,0,10,0
3980,10,10,0
3976,14,10,0
3973,17,10,0
3969,21,10,0
3967,23,10,0
3958,22,20,0
3955,21,24,0
3949,24,27,0
3940,29,31,0
3931,36,33,0
3928,30,42,0
3915,40,45,0
3908,41,51,0
3898,42,50,10
3887,44,59,10
3872,56,62,10
3860,55,75,10
3840,68,82,10
3834,64,92,10
3813,74,93,20
3800,72,104,24
3783,77,113,27
3765,75,129,31
3749,85,133,33
3731,82,145,42
3713,87,155,45
3696,87,166,51
3669,96,175,60
3649,100,182,69
3634,97,197,72
3615,98,202,85
3592,104,212,92
3572,97,229,102
3546,103,238,113
3523,111,238,128
3502,113,245,140
3468,124,248,160
3444,128,262,166
3409,137,267,187
3364,159,277,200
3335,167,281,217
3316,152,297,235
3291,153,305,251
3260,149,322,269
3225,139,349,287
3191,144,361,304
3151,165,353,331
3100,191,358,351
3073,187,374,366
3041,184,390,385
3008,183,401,408
2969,182,421,428
2932,168,446,454
2892,181,450,477
2847,194,461,498
2812,196,460,532
2778,191,475,556
2737,195,477,591
2705,187,472,636
2669,178,488,665
2630,182,504,684
2590,188,513,709
2546,191,523,740
2508,197,520,775
2462,207,522,809
2436,194,521,849
2387,203,510,900
2352,194,527,927
2312,196,533,959
2254,208,546,992
2217,219,533,1031
2166,221,545,1068
2127,225,540,1108
2092,220,535,1153
2046,208,558,1188
2003,214,561,1222
1961,205,571,1263
1921,206,578,1295
1870,222,577,1331
1828,218,584,1370
1792,211,587,1410
1749,212,585,1454
1715,206,587,1492
1678,192,592,1538
1640,188,608,1564
1599,193,595,1613
1564,185,603,1648
1533,182,597,1688
1490,188,576,1746
1465,175,577,1783
1427,172,567,1834
1395,169,563,1873
1357,176,559,1908
1319,171,556,1954
1286,179,538,1997
1257,170,534,2039
1217,178,526,2079
1199,158,513,2130
1157,162,509,2172
1129,157,506,2208
1095,162,492,2251
1077,140,498,2285
1049,150,479,2322
1027,130,483,2360
1001,128,470,2401
978,117,469,2436
952,125,456,2467
929,120,441,2510
905,122,438,2535
882,119,426,2573
857,121,417,2605
843,109,405,2643
827,102,390,2681
807,98,381,2714
