susceptible,exposed,infected,recovered
8490,10,0,0
8490,10,0,0
8490,10,0,0
8490,10,0,0
8490,0,10,0
8469,21,10,0
8450,40,10,0
8438,52,10,0
8429,61,10,0
8423,67,10,0
8416,53,31,0
8391,59,50,0
8351,87,62,0
8316,113,71,0
8288,135,77,0
8264,152,84,0
8243,148,109,0
8198,153,149,0
8148,168,174,10
8095,193,202,10
8034,230,226,10
7986,257,247,10
7936,262,292,10
7883,265,342,10
7821,274,374,31
7755,279,416,50
7673,313,452,62
7596,340,493,71
7527,356,540,77
7450,371,595,84
7361,394,636,109
7281,392,678,149
7165,431,720,184
7085,442,761,212
6997,453,814,236
6919,442,882,257
6820,461,917,302
6727,438,983,352
6644,441,1010,405
6559,438,1037,466
6475,444,1067,514
6387,433,1116,564
6259,468,1156,617
6159,485,1177,679
6078,481,1196,745
5969,506,1198,827
5853,534,1209,904
5747,512,1268,973
5616,543,1291,1050
5494,584,1283,1139
5405,564,1312,1219
5292,561,1312,1335
5194,553,1338,1415
5083,533,1381,1503
4980,514,1425,1581
4872,533,1415,1680
4752,540,1435,1773
4649,545,1450,1856
4551,532,1476,1941
4480,500,1495,2025
4383,489,1515,2113
4266,486,1507,2241
4181,468,1510,2341
4067,484,1527,2422
3989,491,1489,2531
3892,491,1470,2647
3804,462,1481,2753
3694,487,1435,2884
3604,463,1427,3006
3499,490,1416,3095
3401,491,1400,3208
3310,494,1390,3306
3209,485,1389,3417
3113,491,1376,3520
3019,480,1373,3628
2933,468,1351,3748
2841,469,1339,3851
2746,463,1342,3949
2663,450,1367,4020
2579,440,1364,4117
2490,443,1333,4234
2389,452,1340,4319
2306,440,1321,4433
2219,444,1326,4511
2133,446,1313,4608
2044,446,1314,4696
1958,431,1305,4806
1869,437,1298,4896
1779,440,1280,5001
1685,448,1268,5099
1603,441,1266,5190
1521,437,1251,5291
1455,414,1244,5387
1369,410,1240,5481
1279,406,1248,5567
1210,393,1238,5659
1142,379,1225,5754
1078,377,1208,5837
1017,352,1210,5921
939,340,1211,6010
875,335,1179,6111
796,346,1164,6194
749,329,1141,6281
696,321,1116,6367
655,284,1105,6456
598,277,1083,6542
545,251,1073,6631
483,266,1030,6721
438,258,989,6815
396,259,948,6897
357,241,923,6979
325,220,910,7045
292,191,886,7131
257,181,841,7221
238,158,814,7290
201,156,785,7358
181,144,753,7422
163,129,725,7483
138,119,682,7561
116,122,637,7625
98,103,595,7704
84,97,568,7751
72,91,533,7804
60,78,517,7845
49,67,482,7902
44,54,447,7955
38,46,399,8017
35,37,366,8062
32,28,336,8104
30,19,308,8143
29,15,281,8175
27,11,254,8208
25,10,222,8243
20,12,206,8262
17,13,171,8299
17,12,152,8319
16,11,136,8337
12,13,113,8362
11,9,96,8384
11,6,81,8402
10,7,67,8416
7,9,56,8428
6,6,48,8440
3,8,38,8451
3,8,33,8456
2,8,28,8462
1,6,28,8465
1,5,26,8468
1,2,27,8470
0,3,26,8471
0,2,25,8473
0,1,24,8475
0,1,19,8480
0,1,16,8483
0,0,17,8483
0,0,16,8484
0,0,12,8488
0,0,11,8489
0,0,11,8489
0,0,10,8490
0,0,7,8493
0,0,6,8494
0,0,3,8497
0,0,3,8497
0,0,2,8498
0,0,1,8499
0,0,1,8499
0,0,1,8499
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
0,0,0,8500
10,0,0,8490
10,0,0,8490
10,0,0,8490
10,0,0,8490
10,0,0,8490
10,0,0,8490
31,0,0,8469
50,0,0,8450
62,0,0,8438
71,0,0,8429
77,0,0,8423
84,0,0,8416
109,0,0,8391
149,0,0,8351
184,0,0,8316
212,0,0,8288
236,0,0,8264
257,0,0,8243
302,0,0,8198
352,0,0,8148
405,0,0,8095
466,0,0,8034
514,0,0,7986
564,0,0,7936
617,0,0,7883
679,0,0,7821
745,0,0,7755
827,0,0,7673
904,0,0,7596
973,0,0,7527
1050,0,0,7450
1139,0,0,7361
1219,0,0,7281
1335,0,0,7165
1415,0,0,7085
1503,0,0,6997
1581,0,0,6919
1680,0,0,6820
1773,0,0,6727
1856,0,0,6644
1941,0,0,6559
2025,0,0,6475
2113,0,0,6387
2241,0,0,6259
2341,0,0,6159
2422,0,0,6078
2531,0,0,5969
2647,0,0,5853
2753,0,0,5747
2884,0,0,5616
3006,0,0,5494
3095,0,0,5405
3208,0,0,5292
3306,0,0,5194
3417,0,0,5083
3520,0,0,4980
3628,0,0,4872
3748,0,0,4752
3851,0,0,4649
3949,0,0,4551
4020,0,0,4480
4117,0,0,4383
4234,0,0,4266
4319,0,0,4181
4433,0,0,4067
4511,0,0,3989
4608,0,0,3892
4696,0,0,3804
4806,0,0,3694
4896,0,0,3604
5001,0,0,3499
5099,0,0,3401
5190,0,0,3310
5291,0,0,3209
5387,0,0,3113
5481,0,0,3019
5567,0,0,2933
5659,0,0,2841
5754,0,0,2746
5837,0,0,2663
5921,0,0,2579
6010,0,0,2490
6111,0,0,2389
6194,0,0,2306
6281,0,0,2219
6367,0,0,2133
6456,0,0,2044
6542,0,0,1958
6631,0,0,1869
6721,0,0,1779
6815,0,0,1685
6897,0,0,1603
6979,0,0,1521
7045,0,0,1455
7131,0,0,1369
7221,0,0,1279
7290,0,0,1210
7358,0,0,1142
7422,0,0,1078
7483,0,0,1017
7561,0,0,939
7625,0,0,875
7704,0,0,796
7751,0,0,749
7804,0,0,696
7845,0,0,655
7902,0,0,598
7955,0,0,545
8017,0,0,483
8062,0,0,438
8104,0,0,396
8143,0,0,357
8175,0,0,325
8208,0,0,292
8243,0,0,257
8262,0,0,238
8299,0,0,201
8319,0,0,181
8337,0,0,163
8362,0,0,138
8384,0,0,116
8402,0,0,98
8416,0,0,84
8428,0,0,72
8440,0,0,60
8451,0,0,49
8456,0,0,44
8462,0,0,38
8465,0,0,35
8468,0,0,32
8470,0,0,30
8471,0,0,29
8473,0,0,27
8475,0,0,25
8480,0,0,20
8483,0,0,17
8483,0,0,17
8484,0,0,16
8488,0,0,12
8489,0,0,11
8489,0,0,11
8490,0,0,10
8493,0,0,7
8494,0,0,6
8497,0,0,3
8497,0,0,3
8498,0,0,2
